Shortcut,Full
DSS,Daugavpils Sporta Skola
SASS,MSĢ TSV SASS
MSG,MSĢ TSV Jūrmala
JBJSS,Jelgavas BJSS
RAK,Rīgas Airētāju klubs
TBD,TBD
ATOM,ATOM
DRS,DRS
DVI,Dvinsk
LDZ,LDZ DRAGON
MAIZ,LATVIJAS MAIZNIEKS
NEIR,Neirodinamics
WTE,
