Shortcut,Full
DSS,Daugavpils Sporta Skola
SASS,MSĢ TSV SASS
MSG,MSĢ TSV Jūrmala
JBJSS,Jelgavas BJSS
RAK,Rīgas Airētāju klubs
TBD,TBD
ATOM,ATOM
DINB,Dinaburg
DRP,Dragon Pirate
DRS,DRS
DVI,Dvinsk
JUV,Juventa
LDZ,LDZ DRAGON
LTUI,IRKLO SESĖS
MAIZ,LATVIJAS MAIZNIEKS
NEIR,Neirodinamics
WTE,Wrestling team & enigma
YLGA,"""YLGAS"" ŠIAULIAL LIETUVA"
