Shortcut,Full
AKDG,AK “Daugava”
AKLI,AK Lielupe
ASPR,Airu sports
DSS,Daugavpils Sporta skola
JBJSS,Jelgavas BJSS
MSG,MSĢ TSV Jūrmala
SASS,MSĢ TSV SASS
SKJS,SK Jūrmalas sports
TBD,TBD
