EventNum,Event,Place,Crew,CrewAbbrev,Bow,Stroke,Start,Finish,500m,1000m,1500m,Backup_B,RawTime,PenaltyCode,AdjTime,Delta,Qual,Rank
2,M1x T1,25.0,MSĢ TSV SASS,SASS,35 [11:37],TRIŠKINS Ignatijs 08,11:36:56.70,11:38:51.96,,,,01:55.4,01:55.26,,01:55.26,00:19.31,,
2,M1x T1,26.0,MSĢ TSV SASS,SASS,22 [11:24],BOZDORTS Raivo 08,11:24:02.13,11:25:59.12,,,,01:57.4,01:56.99,,01:56.99,00:21.04,,
2,M1x T1,27.0,MSĢ TSV SASS,SASS,7 [11:09],TRIŠKINS Matvejs 08,11:09:00.60,11:10:58.00,,,,01:57.6,01:57.40,,01:57.40,00:21.45,,
2,M1x T1,28.0,Daugavpils Sporta skola,DSS,9 [11:11],MURAVSKIS Grigorijs 07,11:11:00.70,11:12:58.40,,,,01:58.2,01:57.70,,01:57.70,00:21.75,,
2,M1x T1,29.0,MSĢ TSV SASS,SASS,23 [11:25],KRIEVĀNS Renārs 09,11:25:01.84,11:27:01.14,,,,01:59.4,01:59.30,,01:59.30,00:23.35,,
2,M1x T1,30.0,MSĢ TSV SASS,SASS,27 [11:29],ĶEKSIS Henrijs Oto 09,11:29:00.60,11:31:00.06,,,,01:59.4,01:59.46,,01:59.46,00:23.51,,
2,M1x T1,31.0,MSĢ TSV SASS,SASS,24 [11:26],KUPLIS Jānis 09,11:26:02.00,11:28:02.94,,,,02:01.1,02:00.94,,02:00.94,00:24.99,,
2,M1x T1,32.0,Jelgavas BJSS,JBJSS,2 [11:04],LULBERGS Hermanis Toms 12,11:04:00.36,11:06:01.75,,,,02:01.7,02:01.39,,02:01.39,00:25.44,,
2,M1x T1,33.0,MSĢ TSV SASS,SASS,34 [11:36],KRŪMIŅŠ Mareks 09,11:35:57.68,11:37:59.13,,,,02:01.6,02:01.45,,02:01.45,00:25.50,,
2,M1x T1,34.0,MSĢ TSV SASS,SASS,31 [11:33],TEICĀNS Edgars 09,11:32:51.59,11:34:53.64,,,,02:02.1,02:02.05,,02:02.05,00:26.10,,
